ImageName,DeltaE00_Orig,MSE_Orig,MAE_Orig,DeltaE76_Orig,DeltaE00_Mod,MSE_Mod,MAE_Mod,DeltaE76_Mod,DynamicK,Time_Orig,Time_Mod
1694_S.JPG,9.40078075704571,197.533982130776,6.48373395484275,12.7325632848225,9.19229982113692,189.546984180489,6.32387515346978,12.5376496387741,19,0.2461533,0.2521569
1694_T.JPG,11.8988709064151,326.928601883368,9.093716925195,15.8345928357475,13.5138313119973,411.344253520871,10.120034697978,17.8663007676716,10,0.2409082,0.2608351
1695_AS.JPG,11.277803874716,242.407546841899,8.07854446652658,13.5491311194901,11.0582442870274,230.90363433836,7.8889314159,13.2990314552313,19,0.244604,0.2520826
1695_AU.JPG,5.22255192579136,44.3118152402624,3.69917917059218,6.04708302103217,5.32717214554878,47.3707699293224,3.81064539788766,6.14377107237235,23,0.2438541,0.2544935
1695_D.JPG,12.7626589406348,328.716129235561,9.35832824977633,15.6944128359195,13.3450966494789,370.124126794812,9.74258359488772,16.7419513733078,24,0.2461796,0.2560572
1695_F.JPG,15.4357235166145,483.275599337102,11.6654279276377,18.9685874708303,15.0269156988801,447.041459789471,11.2323558823398,18.0705564295659,23,0.2486693,0.2508297
1695_S.JPG,17.951528855365,743.627490225306,12.8511345454215,24.1747989934276,17.6165358031391,751.899947909679,12.7144390104085,23.917559216833,23,0.2480662,0.2526236
1695_T.JPG,5.22255192579136,44.3118152402624,3.69917917059218,6.04708302103217,5.32717214554878,47.3707699293224,3.81064539788766,6.14377107237235,23,0.2472102,0.2535744
1696_AS.JPG,2.81097090412329,12.2588287364779,2.41480362717152,3.49694363455171,3.10436666842463,15.2426735751196,2.74288828233048,3.96478256749799,22,0.2430031,0.2572511
1696_AU.JPG,3.05045940102358,15.1780004096562,2.32657777200083,3.83429122594545,2.87309185207464,13.0622997375431,2.20975326735179,3.5135580834639,18,0.2472314,0.2586894
1696_D.JPG,2.53798945057552,10.8669448000157,2.13966144378497,3.15586053842662,2.42072350915607,10.4535037783387,2.01148782502479,3.02470126928501,18,0.2426303,0.2517861
1696_F.JPG,3.61468879009963,24.3223526681847,3.01217590370383,4.08625412151979,3.51289094568613,24.2105475499645,2.98639190651815,4.03070070669404,20,0.241377,0.2500017
1696_S.JPG,2.00763429342067,10.2897334321983,1.92307515400401,2.55122833993945,1.93974034955,10.0083406582861,1.83153120585673,2.44529527761553,19,0.2480601,0.2584617
1696_T.JPG,4.38162825168584,46.4615699001021,3.7158673619254,5.12700867368755,4.53252843345067,46.5938745411062,3.695830550462,5.23276589608478,18,0.2436166,0.2505283
1697_AS.JPG,1.92281212045393,5.89166406851668,1.39843491234505,2.04171346346985,2.05406234839949,5.18255532865841,1.28500806002454,2.15015023083821,23,0.2451388,0.2454882
1697_AU.JPG,2.35958213595692,7.51394526171447,1.55351162187632,2.28294339471489,2.4988216682307,8.41597582932709,1.71639459226019,2.4690727578053,19,0.2463778,0.2533123
1697_D.JPG,3.22137840297793,12.4187994971446,1.96658995468171,3.76325510495484,3.23502529949086,11.175208253857,2.00249418425835,3.69066008211024,18,0.2455405,0.2551543
1697_F.JPG,3.52274510984882,15.1929982205259,2.21176737244451,3.6541012042457,3.5348580002201,15.501377695889,2.23861514798119,3.70107757838125,21,0.2458393,0.250933
1697_S.JPG,2.09231754511271,7.59825041455015,1.39526772128,2.03574649800404,2.08061347301116,7.69143145252738,1.38191402332144,2.01665140533215,18,0.2551206,0.2525945
1697_T.JPG,5.21028153734646,59.3333837843929,4.31427803935663,6.20552885951647,6.60730851356917,98.8760565478393,5.40126019521559,8.16519348494734,24,0.2434273,0.253807
1698_AS.JPG,1.85123091791121,6.04529470660162,1.40379397653251,1.99940722587927,2.21824058105331,7.79504965291422,1.56891086206233,2.57187940954761,22,0.2406061,0.2637108
1698_AU.JPG,4.55576161106193,32.5333666915102,3.44274257298915,5.72938883015866,4.25028181761075,29.1179533039635,3.14360103920213,5.36308028291251,16,0.2485369,0.2620787
1698_D.JPG,5.85123411356822,60.3774542968308,4.52900056463418,7.52950966947718,7.31997875740993,90.4750675479209,5.59042684990925,9.34164306637222,15,0.2486468,0.254143
1698_F.JPG,4.37646190774386,35.272671584133,3.34478345093452,5.11488101425013,4.24389526881936,34.4924239856114,3.27244447396964,4.94895242979688,14,0.2508791,0.2604356
1698_S.JPG,3.56558869241718,23.3071447771933,2.85541982581728,4.36865293308807,4.37815290744311,34.9109656571521,3.49828592077768,5.47789466438508,15,0.2544901,0.2545134
1698_T.JPG,4.46705921230663,64.5342857920426,3.80518958402136,5.23060951532265,4.53975779330552,64.5859411517834,3.80405219534191,5.33995836317186,21,0.2564071,0.249449
1699_AS.JPG,6.81471603185194,85.8028522196158,5.30209321954428,8.49105837449565,6.80422027984406,85.1302644765496,5.28154654975767,8.45222613461799,19,0.2410427,0.2626118
1699_AU.JPG,8.5276630853557,132.571273262196,6.57233112043434,10.7018638203731,8.48779487789778,132.025488925674,6.560582840116,10.6700498162589,17,0.2502767,0.2596475
1699_D.JPG,4.49804255008426,38.3716957142223,3.5111184096017,5.48444437379759,4.29250931986902,33.3385469808383,3.26297906764211,5.03192529841806,17,0.2506591,0.2683268
1699_F.JPG,4.10940017926156,32.2786655519688,2.58210893884882,4.75962980534796,4.04771118586289,31.9654475494393,2.65153923747793,4.7498468294139,17,0.2624419,0.2532053
1699_S.JPG,4.01629004897529,33.5523369264992,3.05533577015124,5.00467924731496,3.90101604632262,31.604077750653,2.96860003794494,4.77132233864964,21,0.2542682,0.2560726
1699_T.JPG,5.27763947887977,69.4021702231481,4.27261768205775,6.15473859144126,5.15907820113872,67.141335221508,4.08514258434475,5.96025419545413,21,0.2600701,0.2548983
169_AS.JPG,3.2207858371044,13.9451705206024,1.66621672918891,3.07712794653221,2.7505444526606,7.90137024759375,1.24465819419107,2.41914916926716,21,0.2548979,0.2696683
169_AU.JPG,5.71368648654063,55.2847163369284,3.25973546440922,6.12640506423778,5.88232690897004,59.6080072038384,3.39325776240126,6.38260707568816,20,0.2461545,0.2540493
169_D.JPG,2.74113033850634,13.4579923311206,1.57381525548275,2.99291830938274,2.54831603320465,11.6032593930881,1.46564710210635,2.74804023675021,23,0.2428933,0.2623952
