ImageName,DeltaE00_Orig,MSE_Orig,MAE_Orig,DeltaE76_Orig,DeltaE00_Mod,MSE_Mod,MAE_Mod,DeltaE76_Mod,DynamicK,Time_Orig,Time_Mod,CV
1012_D.JPG,6.49161935290737,22.486702644479,2.84354117372953,5.94255147664191,6.6447319293939,23.1591638620175,2.88909179651518,6.15431679227072,23,0.276789,0.2779454,0.07944635
1012_S.JPG,6.61381795769352,78.0435305110342,5.24028882332083,7.93204804998382,6.61381795769352,78.0435305110342,5.24028882332083,7.93204804998382,25,0.268861,0.2768557,0.06660596
1013_AS.JPG,2.80297986562348,14.5850721840073,2.01096987166106,3.64487623316839,2.80297986562348,14.5850721840073,2.01096987166106,3.64487623316839,25,0.277252,0.2796688,0.0700391
1013_D.JPG,2.28715418793067,15.9024664838651,2.34976035433821,2.99839587412312,2.31339272755838,15.9673206047061,2.35678795721372,3.01060509501383,24,0.2723001,0.2744665,0.07394335
1013_S.JPG,4.53774437568659,71.8109183413792,5.5471061400652,8.3745258757904,4.54791578998197,71.2405976015534,5.54325008080228,8.39127070807804,23,0.2618591,0.2654898,0.07843266
1014_AS.JPG,1.84633862428385,4.98043390139317,1.15802951677682,1.83246378438986,1.84633862428385,4.98043390139317,1.15802951677682,1.83246378438986,25,0.2806427,0.2800465,0.07016335
1014_D.JPG,1.52255345446833,4.19232787395575,1.02449132812527,1.56728717443556,1.52255345446833,4.19232787395575,1.02449132812527,1.56728717443556,25,0.2675611,0.2763195,0.0711349
1014_S.JPG,1.65248784185727,5.69958781325214,1.22278992632039,1.77114378773299,1.7040381297036,6.22996563757646,1.292182253918,1.82157249533133,19,0.2698687,0.288142,0.09805244
1015_AS.JPG,4.3473679271512,19.646527781425,2.13397771469819,5.02687430295349,3.98262598512519,15.7682123948227,1.79364928892298,4.38624749276392,18,0.2702871,0.273092,0.107229
1015_D.JPG,4.40604796783013,59.5046759537996,4.74181576961724,6.89543778807787,4.25663047780681,56.5769368312947,4.6840204927666,6.79673613654576,20,0.2708405,0.2793562,0.0928057
1015_S.JPG,5.05491058860605,71.2794204080424,5.17269671918257,6.3869443921123,5.09745790851485,70.2384275693873,5.11989637281495,6.28727338312319,15,0.2727932,0.2721239,0.1196296
1016_AS.JPG,1.86391248627343,9.17965383570493,1.13901009369052,2.39641964087668,1.86391248627343,9.17965383570493,1.13901009369052,2.39641964087668,25,0.2717507,0.2761627,0.05603614
1016_D.JPG,1.77417806500693,9.0090067077628,1.19358538069029,2.21276760232631,1.77417806500693,9.0090067077628,1.19358538069029,2.21276760232631,25,0.272086,0.2837999,0.056801
1016_S.JPG,1.44445198616679,7.09977421161466,0.917726466018365,1.72700846133679,1.44445198616679,7.09977421161466,0.917726466018365,1.72700846133679,25,0.2722635,0.2766929,0.05690167
1017_AS.JPG,2.41846910505353,9.72603069366069,1.85370321199154,2.77907324059343,2.41846910505353,9.72603069366069,1.85370321199154,2.77907324059343,25,0.2746807,0.2797627,0.04310972
1017_D.JPG,5.29659013412932,43.5824628934049,3.75616675739738,6.22691096054811,5.29659013412932,43.5824628934049,3.75616675739738,6.22691096054811,25,0.2843525,0.2734968,0.0383137
