ImageName,DeltaE00_Orig,MSE_Orig,MAE_Orig,DeltaE76_Orig,DeltaE00_Mod,MSE_Mod,MAE_Mod,DeltaE76_Mod,DynamicK
1456_AS.JPG,9.65920443087285,173.98745869419,6.78898735253675,13.139698680329,9.47850701913797,168.487855220419,6.69331022622742,12.8720092142878,14
1456_F.JPG,7.0512883166184,112.540448301431,5.01188662945349,9.69610769124003,6.67763303551682,99.0649510441698,4.56214181864444,9.10000167944707,13
1457_AS.JPG,4.07346477617262,37.4375424636382,3.9161137305454,5.92283396950921,4.05559929716188,36.9420895046358,3.90895671666772,5.84785799363038,14
1457_F.JPG,3.6339344400353,38.9349076292029,3.39061112265294,5.16478088029759,3.5620407202612,37.417864640603,3.2440697106324,5.02226992392574,13
1458_AS.JPG,1.7788412405193,4.98027108929885,0.749171079984199,1.83336621183901,2.11862774797575,6.19180171874187,0.876090760819986,2.17435518024815,14
1458_F.JPG,3.94390106673934,31.6440851225555,1.65853755705852,3.51271444857128,4.30531462531862,36.8575427596602,1.87840946753222,3.95767134679019,18
1459_AS.JPG,3.37422804316929,15.6769674361488,2.56019520864766,4.09778048298605,3.43991661614284,17.4464808953615,2.81111015724713,4.28260114357417,14
1459_F.JPG,3.76093098303227,34.4177958871087,2.78036768863517,3.90045002932423,3.75515905837447,34.2106712107634,2.72916952410995,3.88574445253804,15
145_AS.JPG,4.0464647379241,19.0512605046029,3.20060990003495,4.46506228871989,3.39703815084128,10.6362185769077,2.67133606651002,3.57591642805022,13
145_F.JPG,2.89106222903445,9.0618275347241,3.54088471707828,3.09539815552307,3.03877977019678,10.3372888873823,3.77066356815247,3.33291202946414,15
1460_AS.JPG,5.56841539570303,60.0637120489067,4.34281901771977,7.15888629607037,5.53725075570643,59.0262609701214,4.29913134606114,7.06364852038979,19
1460_F.JPG,4.05209768549786,27.6927850369478,2.37512323749524,4.57035985141741,4.16309091045071,29.379522153665,2.43801683904843,4.73866898924781,16
1461_AS.JPG,1.88766960599229,10.6596067013649,1.28953090203227,2.34691992304909,2.18853385350449,13.5421461307777,1.50114344958301,2.724929006084,13
1461_F.JPG,3.12805912763204,39.4751028795778,2.33032965520624,4.25760399994393,3.20976198999552,37.5435937737981,2.30933732160693,4.27823683941678,13
1462_AS.JPG,4.2753529573716,29.824796998146,2.92199035970904,4.70226367138922,4.23053982651878,29.0703319600141,2.88496371123423,4.59693848635666,13
1462_F.JPG,3.67365915662184,42.3907093976,2.61085832131129,4.15624682249349,3.71690258298071,42.8732667793142,2.66045853014424,4.21300219679937,19
1463_AS.JPG,3.17135744896726,29.3348982710883,2.20339571944052,4.60753615495258,2.9020026370013,24.242629649276,1.96598247716503,4.16782429103627,13
1463_F.JPG,5.64554379814035,113.639422776218,4.49333369625862,8.37158129715206,5.87757130101489,125.531686050537,4.70068933243194,8.74658532149314,14
1464_AS.JPG,2.19549680222987,11.066614019315,1.21680039412055,2.22484698382894,2.32759469822745,11.9463641576575,1.30716684057214,2.38114387780237,14
1464_F.JPG,4.83116223862348,53.8753585088895,3.17304714558784,5.27026302186145,4.97648043795929,58.4633283662117,3.34907843539244,5.52485312568461,13
1465_AS.JPG,5.57933888004492,39.9121282596438,2.88377486715121,4.67910338568488,5.85422780647146,40.8906265591884,2.9323713060031,4.80047275864679,18
1465_F.JPG,6.50485227194726,26.3124201755219,2.32782991669963,5.2535449636933,6.55156406885237,26.4317542788308,2.33426262709867,5.29074938099204,22
1466_AS.JPG,4.54125517159104,61.3098538558535,4.22817648194648,7.63330609160757,4.7072204387149,64.2220790388262,4.49750906152348,7.81860252051203,13
1466_F.JPG,3.12535152760166,27.2289009133233,2.96766598629989,4.74103816061369,3.00253833897621,25.9495621500555,2.84841330275332,4.51233752270186,14
1467_AS.JPG,12.7459639687201,577.826364959782,12.2858946430306,24.0799367384493,12.8620571889956,585.835412251204,12.2209880535926,24.291153412876,14
1467_F.JPG,16.7917008146457,929.81417601563,15.2982900397304,30.2276976724655,17.0925964521703,962.691809119292,15.5218795209065,30.7240942866144,13
1468_AS.JPG,7.92645963297081,112.07421987463,6.24915962134392,10.2130948231343,7.78114996410482,107.761381448684,6.09750008479813,10.0456851256474,13
1468_F.JPG,5.36365824430405,52.0338653930718,4.05316908660108,6.67008748220579,5.74289749038381,63.3233897000581,4.6484086778623,7.38455000866225,13
1469_AS.JPG,2.0266927723533,17.8365280631233,2.02070008702165,3.13354158407757,2.23589565231023,20.3569991773453,2.2681406896666,3.45242278477818,13
1469_F.JPG,3.17730580443359,32.8225037826358,3.07394440311544,4.88528341754918,3.25934301875063,33.690262643123,3.18976179729538,5.01727035126194,14
146_AS.JPG,3.25534455071955,18.6325889653506,2.81666866086715,3.95659979907527,3.54020273859301,21.4732875963444,2.99844596421546,4.38934092240282,13
146_F.JPG,6.01948939202873,90.8180839833483,5.99167250573302,6.79535158272051,5.85191656149249,85.8355268403616,5.77008264353885,6.60077464122784,14
1470_AS.JPG,4.4121109197965,25.4692306627216,2.68524830099294,3.70847155390861,4.74604036995458,28.8964147439959,2.93598383246179,4.02401878534431,15
1470_F.JPG,4.75066134375814,50.2399358491701,2.61791993852165,4.25686723652658,4.73580477319471,50.4134930642525,2.64055159258305,4.25816809652398,20
1471_AS.JPG,2.1080042142401,6.58254692545355,1.02367504451884,2.32240647522155,2.23190432367932,7.30878531196182,1.07881527336496,2.4815356013001,13
1471_F.JPG,3.43569402937598,63.171025749616,2.16882532301484,4.06069420319226,3.29689909311767,36.8909832179405,1.93130449299643,3.71567978761794,14
1472_AS.JPG,1.35604118001098,4.38476985961396,0.780579637807812,1.36170948566616,1.51447942537658,5.08124514488128,0.872605993026518,1.52051967959857,15
1472_F.JPG,4.99464688614106,58.2012720351369,3.14789687205254,5.21020704382231,4.56974055610305,54.1677633008171,2.89448211108681,4.76198889894592,17
1473_AS.JPG,6.19475931149329,79.7824639438055,4.02835983447555,7.50079310245201,5.73442676979354,69.160315960503,3.75475556128627,6.98107611541566,13
1473_F.JPG,6.24154721427379,97.7353701874344,4.43285073214795,7.36299243737546,6.01358760962068,91.6550747001942,4.27070023905211,7.00809746261213,16
1474_AS.JPG,2.94841385970413,23.7832999671989,2.41512234019427,4.06976764940335,3.1616929285866,29.1779006215984,2.69101907328863,4.60774936810232,14
