ImageName,DeltaE00_Orig,MSE_Orig,MAE_Orig,DeltaE76_Orig,DeltaE00_Mod,MSE_Mod,MAE_Mod,DeltaE76_Mod,DynamicK,Time_Orig,Time_Mod,CV
633_D.JPG,1.66311998373357,8.09231016038185,1.14400372908922,2.14238672955371,1.66311998373357,8.09231016038185,1.14400372908922,2.14238672955371,25,0.2187025,0.22557175,NaN
633_S.JPG,1.72775950736137,9.64337085014173,0.932607228831893,1.92212058186336,1.72775950736137,9.64337085014173,0.932607228831893,1.92212058186336,25,0.248893875,0.24260825,NaN
634_AS.JPG,3.50302995601274,51.3355199172666,3.1419664707021,6.0908605115937,3.50302995601274,51.3355199172666,3.1419664707021,6.0908605115937,25,0.222479958333333,0.221774666666667,NaN
634_D.JPG,2.40241769416331,27.9062813478932,2.13978704683209,4.28051057500052,2.40241769416331,27.9062813478932,2.13978704683209,4.28051057500052,25,0.209732333333333,0.228084875,NaN
634_S.JPG,2.61589380404111,24.2955617232108,2.3241844818836,4.43008847738496,2.61589380404111,24.2955617232108,2.3241844818836,4.43008847738496,25,0.230002333333333,0.216228458333333,NaN
635_AS.JPG,12.8990029434738,712.964685054088,16.2565024286979,22.5172193970596,12.8990029434738,712.964685054088,16.2565024286979,22.5172193970596,25,0.212347333333333,0.205936,NaN
635_D.JPG,12.7938400575954,853.64785606074,7.04737068952722,17.1026577293577,5.93920808591272,253.07261085188,9.4145004913755,14.2403165476189,NaN,0.206316833333333,0.224207666666667,NaN
635_S.JPG,15.447966112811,1495.98526908638,11.1434577556107,29.6412305930415,5.78030887462358,248.555963673327,9.36872617572282,14.0387973195214,NaN,0.189053625,0.212690541666667,NaN
636_AS.JPG,2.42377374455648,9.85579813974052,1.52842696109855,2.7258418809782,2.42377374455648,9.85579813974052,1.52842696109855,2.7258418809782,25,0.46083275,0.212044416666667,NaN
636_D.JPG,10.9335169903907,196.801322931821,7.44332932227722,13.7087156306726,10.9335169903907,196.801322931821,7.44332932227722,13.7087156306726,25,0.206790416666667,0.316153875,NaN
636_S.JPG,1.73709598174031,5.21692921111572,0.916420901342972,1.76683890801021,1.73709598174031,5.21692921111572,0.916420901342972,1.76683890801021,25,0.340885416666667,0.220178333333333,NaN
637_AS.JPG,9.61033684851411,181.263886415408,8.45950093135484,13.3459785126934,9.61033684851411,181.263886415408,8.45950093135484,13.3459785126934,25,0.214613125,0.22368575,NaN
637_D.JPG,7.31065922215956,108.837688278341,6.56731708991782,10.3957333096632,7.31065922215956,108.837688278341,6.56731708991782,10.3957333096632,25,0.220807416666667,0.218562416666667,NaN
637_S.JPG,6.09743401882786,74.3202337236845,5.31885174098965,7.4676214071613,6.09743401882786,74.3202337236845,5.31885174098965,7.4676214071613,25,0.233152166666667,0.212407333333333,NaN
638_AS.JPG,2.55827595703138,9.44394561025649,1.66763139943859,2.54208964419761,2.55827595703138,9.44394561025649,1.66763139943859,2.54208964419761,25,0.239317458333333,0.225259583333333,NaN
638_D.JPG,4.72572642726909,42.7955261528266,3.38257701160338,5.82477221599724,4.72572642726909,42.7955261528266,3.38257701160338,5.82477221599724,25,0.213973041666667,0.231769666666667,NaN
638_S.JPG,3.29996631291922,15.6281004125687,2.24496076678032,3.79427602798103,3.29996631291922,15.6281004125687,2.24496076678032,3.79427602798103,25,0.406333166666667,0.223367416666667,NaN
639_AS.JPG,2.74128677038035,11.717764040872,1.78247738477301,3.21857986715162,2.74128677038035,11.717764040872,1.78247738477301,3.21857986715162,25,0.226696541666667,0.212309333333333,NaN
639_D.JPG,2.28718415700703,9.06259193989417,1.56251141981563,2.72151372838928,2.28718415700703,9.06259193989417,1.56251141981563,2.72151372838928,25,0.203866958333333,0.226217541666667,NaN
639_S.JPG,2.43097502776614,10.7515339429795,1.73075306698499,2.67412918695847,2.43097502776614,10.7515339429795,1.73075306698499,2.67412918695847,25,0.21885875,0.244908875,NaN
63_AS.JPG,6.88622116913351,80.0914798664463,4.88751536007248,8.97142143082439,6.88622116913351,80.0914798664463,4.88751536007248,8.97142143082439,25,0.237974958333333,0.22797175,NaN
63_D.JPG,6.77261584878807,80.8300786033873,4.98822020066871,8.8590602612599,6.77261584878807,80.8300786033873,4.98822020066871,8.8590602612599,25,0.209000875,0.231940083333333,NaN
63_S.JPG,7.31929241581324,98.6391100433099,5.22361481236151,9.56159222336552,7.31929241581324,98.6391100433099,5.22361481236151,9.56159222336552,25,0.233277416666667,0.224920208333333,NaN
640_AS.JPG,2.33030633311202,11.1761512271305,1.84009202881741,2.50872068890339,2.33030633311202,11.1761512271305,1.84009202881741,2.50872068890339,25,0.225190833333333,0.230944291666667,NaN
640_D.JPG,5.50441560595066,123.473583618334,2.39180351157011,5.64383005180683,5.50441560595066,123.473583618334,2.39180351157011,5.64383005180683,25,0.219448,0.211162625,NaN
640_S.JPG,11.4320231322098,359.653282334792,5.38604336900832,15.1486114630139,11.4320231322098,359.653282334792,5.38604336900832,15.1486114630139,25,0.199394166666667,0.209302875,NaN
641_AS.JPG,1.78528531158881,4.95208167915131,2.0271501342611,1.7024472329692,1.78528531158881,4.95208167915131,2.0271501342611,1.7024472329692,25,0.302832875,0.382625375,NaN
641_D.JPG,1.77282267159467,5.11610173416366,2.07156081368686,1.72706161319205,1.77282267159467,5.11610173416366,2.07156081368686,1.72706161319205,25,0.215900458333333,0.221815625,NaN
641_S.JPG,1.80681310022823,7.08967079012566,2.46176009498655,1.88774873943672,1.80681310022823,7.08967079012566,2.46176009498655,1.88774873943672,25,0.236990208333333,0.220169041666667,NaN
642_AS.JPG,4.84115104063468,29.6344028162195,3.01738950709654,6.13360554211906,4.84115104063468,29.6344028162195,3.01738950709654,6.13360554211906,25,0.222053208333333,0.213366958333333,NaN
642_D.JPG,5.32789127808381,40.2501113663372,3.49115821535615,6.83397064997719,5.32789127808381,40.2501113663372,3.49115821535615,6.83397064997719,25,0.236817708333333,0.222427916666667,NaN
642_S.JPG,5.77293879829071,47.4097192613392,3.74949784577525,7.24361391782901,5.77293879829071,47.4097192613392,3.74949784577525,7.24361391782901,25,0.22508125,0.215364,NaN
643_AS.JPG,9.15982525487727,149.890457540181,7.07458141692349,11.7325447748771,9.15982525487727,149.890457540181,7.07458141692349,11.7325447748771,25,0.230556,0.252209416666667,NaN
