ImageName,DeltaE00_Orig,MSE_Orig,MAE_Orig,DeltaE76_Orig,DeltaE00_Mod,MSE_Mod,MAE_Mod,DeltaE76_Mod,DynamicK,Time_Orig,Time_Mod,FallbackUsed
178_S.JPG,NaN,NaN,NaN,NaN,21.6664431769284,1408.59088949356,15.742406105945,33.7267745235886,NaN,NaN,0.0635827083333333,1
178_T.JPG,NaN,NaN,NaN,NaN,24.3102077253411,3749.38812397974,35.0795483062527,38.7292503577206,NaN,NaN,0.11071625,1
179_AS.JPG,NaN,NaN,NaN,NaN,19.3671136793729,3148.317635892,22.7898417531111,34.7509220408351,NaN,NaN,0.0976203333333333,1
179_AU.JPG,NaN,NaN,NaN,NaN,18.3181811744091,3225.52972848577,22.9079403262809,33.8848490751559,NaN,NaN,0.06590775,1
179_D.JPG,NaN,NaN,NaN,NaN,17.1525517961939,3141.27332808451,22.6150043102057,33.0640593211387,NaN,NaN,0.0595211666666667,1
179_F.JPG,NaN,NaN,NaN,NaN,38.2010409184881,7867.8438278699,40.522981849616,68.6633995097204,NaN,NaN,0.0654544166666667,1
179_S.JPG,NaN,NaN,NaN,NaN,15.8754886501423,3723.84986815085,24.3100840833956,35.3251467033257,NaN,NaN,0.0628663333333333,1
179_T.JPG,NaN,NaN,NaN,NaN,35.5187578663656,8045.3558160443,42.3316242927311,58.3094637036857,NaN,NaN,0.0577365416666667,1
17_AS.JPG,NaN,NaN,NaN,NaN,17.695700251149,3102.14046100173,26.7800346367084,36.8077128360514,NaN,NaN,0.0590462916666667,1
17_AU.JPG,NaN,NaN,NaN,NaN,18.2140913634134,3129.73652658301,26.6597881286378,37.9652332224228,NaN,NaN,0.0655849583333333,1
17_D.JPG,NaN,NaN,NaN,NaN,15.6748360695201,2533.12339533403,24.389746993472,32.489439131746,NaN,NaN,0.0616151666666667,1
17_F.JPG,NaN,NaN,NaN,NaN,26.8367085482969,5628.58385515167,38.4715689498056,52.2015645476979,NaN,NaN,0.0946148333333333,1
17_S.JPG,NaN,NaN,NaN,NaN,16.0600934807838,3292.94544171494,25.7831781403025,33.9533715128704,NaN,NaN,0.0661730833333333,1
17_T.JPG,NaN,NaN,NaN,NaN,28.8318557254584,6100.01670232458,40.0921648960178,50.4471541770471,NaN,NaN,0.0639965833333333,1
180_AS.JPG,NaN,NaN,NaN,NaN,16.9750645859843,1612.18754282173,13.8747983047227,24.2755729603502,NaN,NaN,0.06748875,1
180_AU.JPG,NaN,NaN,NaN,NaN,19.6708833676509,1888.83336015038,15.5049210013803,28.0510284693798,NaN,NaN,0.0617819166666667,1
180_D.JPG,NaN,NaN,NaN,NaN,12.9385551194762,1148.85174789049,12.2975623981719,18.0134863867222,NaN,NaN,0.0642313333333333,1
180_F.JPG,NaN,NaN,NaN,NaN,16.074801775094,1599.51477794292,13.6973327315629,22.5846853502398,NaN,NaN,0.0586847083333333,1
180_S.JPG,NaN,NaN,NaN,NaN,12.4056626805504,651.862410411571,8.03618212081544,18.7091346979414,NaN,NaN,0.056603375,1
180_T.JPG,NaN,NaN,NaN,NaN,18.0625500969206,1863.86218744017,14.6458626692827,25.2255466587919,NaN,NaN,0.0610524166666667,1
181_AS.JPG,NaN,NaN,NaN,NaN,27.6425814446142,4883.36263314425,34.4087756817633,43.3332668375746,NaN,NaN,0.0677768333333333,1
181_AU.JPG,NaN,NaN,NaN,NaN,25.0776063378188,4577.64628093728,31.4215246671532,38.7326943256845,NaN,NaN,0.068254125,1
181_D.JPG,NaN,NaN,NaN,NaN,28.4068494801701,4929.79724690001,35.2783024980916,45.0222327029369,NaN,NaN,0.070965625,1
181_F.JPG,NaN,NaN,NaN,NaN,28.8222403868593,3946.72315164108,35.5587737687177,46.0251060542848,NaN,NaN,0.0651990416666667,1
181_S.JPG,NaN,NaN,NaN,NaN,23.4711917341445,3686.46887591379,28.6422551827695,34.8433766491305,NaN,NaN,0.0617731666666667,1
181_T.JPG,NaN,NaN,NaN,NaN,24.2643847188692,3396.7721461451,31.2927263621556,35.7188621250203,NaN,NaN,0.0574451666666667,1
182_AS.JPG,NaN,NaN,NaN,NaN,31.7577721836474,9406.42049064212,36.8501109827168,62.4781501023307,NaN,NaN,0.0624324166666667,1
182_AU.JPG,NaN,NaN,NaN,NaN,30.1100612959869,9027.889360349,34.6246335866079,60.4809270859661,NaN,NaN,0.06144,1
182_D.JPG,NaN,NaN,NaN,NaN,28.5431041244135,8799.56505011605,32.406313728636,57.4402652773107,NaN,NaN,0.0695750416666667,1
182_F.JPG,NaN,NaN,NaN,NaN,27.5971735965944,4489.73214068302,28.5183224952291,49.3465632910755,NaN,NaN,0.0834010833333333,1
182_S.JPG,NaN,NaN,NaN,NaN,23.7775168376708,8303.37496007284,28.9889433114932,51.2198822451893,NaN,NaN,0.070744875,1
182_T.JPG,NaN,NaN,NaN,NaN,25.0503461888227,3283.15670019514,24.2177436511706,38.1539221134892,NaN,NaN,0.0606885,1
183_AS.JPG,NaN,NaN,NaN,NaN,19.0813630009329,3655.71869364541,25.5696216199193,31.7386923215448,NaN,NaN,0.0608603333333333,1
183_AU.JPG,NaN,NaN,NaN,NaN,33.1308597362532,5942.65959667481,36.6920776382649,53.4592298249316,NaN,NaN,0.05889175,1
183_D.JPG,NaN,NaN,NaN,NaN,18.2128208080444,3516.33307869076,24.8993191572834,31.3411563536935,NaN,NaN,0.0600274583333333,1
183_F.JPG,NaN,NaN,NaN,NaN,30.7674553684662,5712.11523276639,35.322785781829,49.8185242265054,NaN,NaN,0.0604742916666667,1
183_S.JPG,NaN,NaN,NaN,NaN,17.9924232001872,3269.01482926932,24.5826841425413,32.7536356646159,NaN,NaN,0.0648249166666667,1
183_T.JPG,NaN,NaN,NaN,NaN,37.5493072058583,6523.96215024644,39.8299468999598,63.9907249121264,NaN,NaN,0.06111675,1
184_AS.JPG,NaN,NaN,NaN,NaN,19.8074367407365,3107.36521951702,19.0248115993964,34.1350619187398,NaN,NaN,0.0588109166666667,1
184_AU.JPG,NaN,NaN,NaN,NaN,15.0654707031114,2496.29687042688,17.2400465235132,28.1102815883206,NaN,NaN,0.0560943333333333,1
184_D.JPG,NaN,NaN,NaN,NaN,29.0358206878271,5800.06232170046,26.8309749586222,50.7217861657845,NaN,NaN,0.06652,1
